Age,Gender,Low_Sodium_Diet,Diet_Condition,Dining_Frequency,Low_Sodium_Satisfaction,Add_Salt_Condiments,Taste_Enhancement_Tech_Aware,Interest_In_Device,Importance_Of_Taste_Enhancement,Expected_Device_Features,Purchase_Consideration,Concerns_On_Technology,Salt_Usage_Dal_Gojju_Palya,Salt_Usage_Sambar_Rasam_Curd,Salt_Usage_Biryani_Pulao_Rice,Salt_Usage_Curry,Salt_Usage_Snacks,Salt_Usage_Roti_Paratha,Salt_Usage_Pickles_Papad,Salt_Opinion
64,Other,No,None,Weekly,Sometimes,Never,Yes,Yes,Very Important,"Adjustable intensity, Dietary tracking features",No,Safety,¼ tsp,No Salt,¼ tsp,No Salt,¼ tsp,More than 1 tsp,1 tsp,Too Salty
21,Other,No,None,Rarely,Yes,Always,No,Yes,Very Important,"Mobile app integration, Dietary tracking features",No,,More than 1 tsp,1 tsp,¼ tsp,No Salt,No Salt,More than 1 tsp,¼ tsp,Perfect
30,Other,No,None,Monthly,No,Sometimes,Yes,No,Moderately Important,"Dietary tracking features, Mobile app integration",Yes,Safety,½ tsp,No Salt,No Salt,No Salt,1 tsp,1 tsp,1 tsp,Too Bland
48,Male,Yes,Kidney Disease,Daily,No,Sometimes,No,Yes,Not Important,"Adjustable intensity, Dietary tracking features",Yes,Price,½ tsp,No Salt,No Salt,½ tsp,More than 1 tsp,More than 1 tsp,No Salt,Perfect
38,Male,Yes,Kidney Disease,Rarely,Yes,Sometimes,Yes,Yes,Not Important,"Dietary tracking features, Mobile app integration",Maybe,Effectiveness,1 tsp,¼ tsp,No Salt,More than 1 tsp,½ tsp,No Salt,No Salt,Too Salty
32,Male,No,None,Rarely,No,Always,No,No,Moderately Important,"Portable design, Dietary tracking features",Maybe,Price,1 tsp,¼ tsp,More than 1 tsp,1 tsp,No Salt,More than 1 tsp,½ tsp,Perfect
63,Male,Yes,Other,Weekly,No,Never,Yes,No,Moderately Important,"Mobile app integration, Adjustable intensity",Yes,,½ tsp,1 tsp,½ tsp,½ tsp,No Salt,¼ tsp,No Salt,Perfect
45,Female,No,None,Daily,Yes,Always,No,Yes,Not Important,"Mobile app integration, Portable design",Yes,Effectiveness,1 tsp,1 tsp,No Salt,More than 1 tsp,¼ tsp,More than 1 tsp,More than 1 tsp,Perfect
61,Female,Yes,Kidney Disease,Monthly,No,Sometimes,No,Yes,Very Important,"Portable design, Dietary tracking features",No,Price,½ tsp,1 tsp,No Salt,½ tsp,½ tsp,¼ tsp,1 tsp,Too Bland
57,Male,No,None,Daily,Yes,Sometimes,Yes,No,Moderately Important,"Dietary tracking features, Portable design",No,Effectiveness,1 tsp,More than 1 tsp,¼ tsp,½ tsp,½ tsp,More than 1 tsp,¼ tsp,Too Salty
38,Male,No,None,Monthly,No,Never,No,Yes,Moderately Important,"Dietary tracking features, Portable design",No,Effectiveness,No Salt,More than 1 tsp,¼ tsp,More than 1 tsp,More than 1 tsp,¼ tsp,More than 1 tsp,Perfect
64,Female,Yes,None,Monthly,Sometimes,Always,No,No,Very Important,"Mobile app integration, Adjustable intensity",No,Safety,1 tsp,1 tsp,No Salt,1 tsp,More than 1 tsp,1 tsp,More than 1 tsp,Too Salty
52,Other,No,None,Daily,No,Never,Yes,Yes,Very Important,"Mobile app integration, Adjustable intensity",Maybe,,More than 1 tsp,1 tsp,½ tsp,1 tsp,No Salt,No Salt,No Salt,Too Salty
32,Other,Yes,None,Monthly,No,Sometimes,Yes,No,Very Important,"Dietary tracking features, Adjustable intensity",No,Price,No Salt,No Salt,¼ tsp,½ tsp,½ tsp,½ tsp,1 tsp,Perfect
51,Female,No,None,Rarely,Yes,Sometimes,No,No,Very Important,"Mobile app integration, Adjustable intensity",Maybe,,No Salt,½ tsp,No Salt,¼ tsp,¼ tsp,More than 1 tsp,¼ tsp,Too Bland
28,Female,No,None,Rarely,Yes,Sometimes,Yes,Yes,Not Important,"Dietary tracking features, Portable design",Yes,Safety,1 tsp,More than 1 tsp,1 tsp,1 tsp,No Salt,¼ tsp,¼ tsp,Too Salty
66,Other,Yes,Hypertension,Weekly,No,Sometimes,Yes,No,Very Important,"Mobile app integration, Dietary tracking features",No,Effectiveness,More than 1 tsp,1 tsp,More than 1 tsp,1 tsp,More than 1 tsp,No Salt,½ tsp,Too Salty
47,Other,Yes,Other,Daily,Sometimes,Always,No,Yes,Very Important,"Mobile app integration, Adjustable intensity",Yes,Effectiveness,¼ tsp,More than 1 tsp,1 tsp,1 tsp,More than 1 tsp,¼ tsp,More than 1 tsp,Too Salty
45,Male,No,None,Weekly,Sometimes,Always,No,No,Very Important,"Portable design, Dietary tracking features",No,,½ tsp,No Salt,1 tsp,¼ tsp,¼ tsp,1 tsp,More than 1 tsp,Too Bland
59,Female,No,None,Rarely,No,Never,No,No,Very Important,"Adjustable intensity, Mobile app integration",Yes,Safety,½ tsp,No Salt,½ tsp,¼ tsp,More than 1 tsp,½ tsp,¼ tsp,Too Salty
54,Other,No,None,Daily,Sometimes,Always,No,No,Not Important,"Adjustable intensity, Mobile app integration",No,Safety,1 tsp,No Salt,¼ tsp,½ tsp,No Salt,1 tsp,½ tsp,Too Salty
70,Male,No,None,Daily,Yes,Always,No,No,Very Important,"Portable design, Adjustable intensity",Yes,,More than 1 tsp,½ tsp,More than 1 tsp,½ tsp,More than 1 tsp,More than 1 tsp,¼ tsp,Too Salty
63,Female,No,None,Monthly,Sometimes,Never,Yes,Yes,Moderately Important,"Adjustable intensity, Portable design",Maybe,Safety,¼ tsp,¼ tsp,¼ tsp,½ tsp,¼ tsp,1 tsp,1 tsp,Perfect
54,Other,No,None,Rarely,No,Sometimes,Yes,Yes,Moderately Important,"Mobile app integration, Dietary tracking features",No,Price,1 tsp,½ tsp,More than 1 tsp,No Salt,No Salt,1 tsp,½ tsp,Perfect
68,Other,No,None,Weekly,No,Always,No,No,Moderately Important,"Mobile app integration, Portable design",Maybe,Safety,More than 1 tsp,1 tsp,½ tsp,No Salt,No Salt,No Salt,1 tsp,Perfect
25,Male,No,None,Rarely,Yes,Sometimes,Yes,Yes,Not Important,"Mobile app integration, Adjustable intensity",No,,½ tsp,½ tsp,No Salt,½ tsp,¼ tsp,No Salt,1 tsp,Too Bland
37,Other,Yes,None,Daily,Sometimes,Always,Yes,Yes,Moderately Important,"Adjustable intensity, Dietary tracking features",Maybe,Safety,More than 1 tsp,1 tsp,No Salt,No Salt,½ tsp,No Salt,1 tsp,Too Bland
26,Female,Yes,Kidney Disease,Rarely,Yes,Never,Yes,Yes,Moderately Important,"Mobile app integration, Portable design",Yes,Price,¼ tsp,¼ tsp,No Salt,More than 1 tsp,More than 1 tsp,No Salt,More than 1 tsp,Too Bland
28,Female,No,None,Weekly,Sometimes,Never,Yes,No,Not Important,"Dietary tracking features, Adjustable intensity",Yes,,¼ tsp,No Salt,More than 1 tsp,1 tsp,½ tsp,1 tsp,½ tsp,Perfect
33,Female,Yes,Kidney Disease,Monthly,Sometimes,Always,No,Yes,Not Important,"Portable design, Mobile app integration",No,Effectiveness,No Salt,¼ tsp,1 tsp,1 tsp,No Salt,¼ tsp,1 tsp,Too Bland
56,Male,Yes,Other,Monthly,Yes,Sometimes,No,No,Not Important,"Portable design, Dietary tracking features",Yes,,More than 1 tsp,No Salt,No Salt,½ tsp,¼ tsp,No Salt,No Salt,Too Salty
50,Female,No,None,Rarely,Sometimes,Sometimes,Yes,Yes,Moderately Important,"Adjustable intensity, Portable design",Yes,Safety,¼ tsp,More than 1 tsp,½ tsp,1 tsp,More than 1 tsp,No Salt,½ tsp,Too Bland
45,Other,Yes,Hypertension,Weekly,Yes,Sometimes,Yes,No,Not Important,"Adjustable intensity, Portable design",Maybe,Safety,No Salt,No Salt,¼ tsp,No Salt,¼ tsp,1 tsp,½ tsp,Too Bland
51,Other,No,None,Weekly,No,Always,No,Yes,Very Important,"Mobile app integration, Portable design",No,,½ tsp,More than 1 tsp,No Salt,1 tsp,1 tsp,More than 1 tsp,½ tsp,Perfect
49,Other,Yes,Other,Weekly,No,Always,Yes,Yes,Not Important,"Adjustable intensity, Dietary tracking features",Yes,Safety,No Salt,1 tsp,½ tsp,1 tsp,¼ tsp,¼ tsp,No Salt,Too Bland
69,Other,No,None,Weekly,No,Always,No,No,Moderately Important,"Adjustable intensity, Mobile app integration",No,,More than 1 tsp,No Salt,¼ tsp,¼ tsp,More than 1 tsp,No Salt,1 tsp,Perfect
47,Female,No,None,Monthly,Yes,Never,No,Yes,Moderately Important,"Portable design, Dietary tracking features",Maybe,Effectiveness,More than 1 tsp,¼ tsp,1 tsp,½ tsp,More than 1 tsp,1 tsp,¼ tsp,Too Bland
52,Male,Yes,Hypertension,Rarely,Yes,Always,No,Yes,Moderately Important,"Adjustable intensity, Mobile app integration",No,Effectiveness,No Salt,¼ tsp,More than 1 tsp,¼ tsp,1 tsp,1 tsp,No Salt,Perfect
63,Female,Yes,Hypertension,Weekly,Sometimes,Sometimes,No,No,Not Important,"Adjustable intensity, Mobile app integration",Yes,Safety,1 tsp,No Salt,More than 1 tsp,More than 1 tsp,No Salt,1 tsp,¼ tsp,Perfect
36,Female,No,None,Rarely,Sometimes,Never,No,No,Moderately Important,"Mobile app integration, Adjustable intensity",Yes,Safety,¼ tsp,More than 1 tsp,No Salt,¼ tsp,No Salt,¼ tsp,1 tsp,Too Salty
38,Female,Yes,Other,Weekly,No,Sometimes,No,No,Very Important,"Adjustable intensity, Dietary tracking features",Maybe,Effectiveness,More than 1 tsp,No Salt,¼ tsp,½ tsp,¼ tsp,No Salt,¼ tsp,Too Salty
43,Other,Yes,Other,Monthly,Yes,Always,No,No,Not Important,"Portable design, Adjustable intensity",No,,¼ tsp,No Salt,No Salt,No Salt,¼ tsp,¼ tsp,¼ tsp,Too Salty
41,Other,Yes,Other,Daily,Yes,Always,Yes,No,Very Important,"Adjustable intensity, Portable design",Yes,,1 tsp,No Salt,¼ tsp,More than 1 tsp,1 tsp,1 tsp,1 tsp,Perfect
42,Other,No,None,Weekly,No,Always,Yes,No,Moderately Important,"Dietary tracking features, Adjustable intensity",Yes,Safety,½ tsp,1 tsp,1 tsp,More than 1 tsp,1 tsp,No Salt,No Salt,Too Salty
42,Male,No,None,Weekly,Sometimes,Never,Yes,Yes,Moderately Important,"Mobile app integration, Portable design",Maybe,Price,½ tsp,More than 1 tsp,More than 1 tsp,½ tsp,1 tsp,½ tsp,¼ tsp,Perfect
38,Other,Yes,Hypertension,Monthly,Yes,Sometimes,No,Yes,Very Important,"Adjustable intensity, Dietary tracking features",Maybe,Safety,½ tsp,More than 1 tsp,No Salt,¼ tsp,More than 1 tsp,1 tsp,½ tsp,Perfect
29,Male,No,None,Monthly,Sometimes,Always,No,Yes,Not Important,"Portable design, Dietary tracking features",Maybe,Effectiveness,¼ tsp,1 tsp,No Salt,No Salt,No Salt,¼ tsp,More than 1 tsp,Perfect
19,Other,No,None,Daily,No,Never,Yes,Yes,Moderately Important,"Portable design, Dietary tracking features",Yes,,¼ tsp,More than 1 tsp,¼ tsp,No Salt,More than 1 tsp,½ tsp,No Salt,Too Salty
63,Other,No,None,Daily,No,Sometimes,No,Yes,Very Important,"Dietary tracking features, Mobile app integration",No,Effectiveness,¼ tsp,More than 1 tsp,More than 1 tsp,½ tsp,¼ tsp,More than 1 tsp,¼ tsp,Too Salty
37,Other,No,None,Weekly,Yes,Never,Yes,No,Not Important,"Adjustable intensity, Dietary tracking features",Maybe,Effectiveness,More than 1 tsp,¼ tsp,More than 1 tsp,No Salt,1 tsp,¼ tsp,½ tsp,Too Bland
22,Male,No,None,Monthly,Yes,Never,Yes,No,Moderately Important,"Adjustable intensity, Portable design",Yes,Safety,No Salt,½ tsp,½ tsp,No Salt,No Salt,No Salt,1 tsp,Too Salty
64,Female,Yes,None,Rarely,No,Sometimes,No,Yes,Moderately Important,"Portable design, Adjustable intensity",No,,No Salt,½ tsp,No Salt,½ tsp,½ tsp,No Salt,No Salt,Too Salty
28,Female,Yes,Hypertension,Daily,No,Never,No,Yes,Moderately Important,"Portable design, Mobile app integration",No,Safety,No Salt,No Salt,½ tsp,¼ tsp,¼ tsp,1 tsp,More than 1 tsp,Too Bland
64,Other,No,None,Monthly,No,Always,Yes,Yes,Moderately Important,"Dietary tracking features, Adjustable intensity",Yes,Effectiveness,No Salt,1 tsp,No Salt,½ tsp,More than 1 tsp,1 tsp,¼ tsp,Perfect
19,Male,Yes,Other,Daily,No,Always,No,No,Moderately Important,"Dietary tracking features, Mobile app integration",No,,More than 1 tsp,1 tsp,¼ tsp,½ tsp,1 tsp,½ tsp,¼ tsp,Too Salty
20,Female,No,None,Rarely,No,Always,No,Yes,Very Important,"Adjustable intensity, Dietary tracking features",Maybe,Effectiveness,More than 1 tsp,1 tsp,More than 1 tsp,¼ tsp,More than 1 tsp,No Salt,1 tsp,Too Bland
44,Other,No,None,Weekly,No,Sometimes,Yes,No,Not Important,"Adjustable intensity, Mobile app integration",Maybe,Safety,No Salt,1 tsp,¼ tsp,¼ tsp,¼ tsp,¼ tsp,¼ tsp,Perfect
45,Male,No,None,Weekly,Sometimes,Always,No,No,Not Important,"Adjustable intensity, Dietary tracking features",No,Price,More than 1 tsp,½ tsp,½ tsp,More than 1 tsp,1 tsp,No Salt,More than 1 tsp,Too Bland
51,Female,Yes,None,Weekly,Yes,Never,Yes,Yes,Not Important,"Adjustable intensity, Portable design",Maybe,Effectiveness,1 tsp,½ tsp,1 tsp,1 tsp,More than 1 tsp,More than 1 tsp,1 tsp,Perfect
29,Female,No,None,Weekly,Sometimes,Never,No,Yes,Moderately Important,"Mobile app integration, Dietary tracking features",Yes,,1 tsp,½ tsp,½ tsp,No Salt,½ tsp,½ tsp,½ tsp,Too Salty
49,Other,Yes,Kidney Disease,Weekly,No,Never,No,No,Moderately Important,"Dietary tracking features, Mobile app integration",Maybe,,¼ tsp,1 tsp,¼ tsp,1 tsp,1 tsp,More than 1 tsp,½ tsp,Perfect
50,Male,Yes,Other,Rarely,Yes,Never,Yes,Yes,Very Important,"Portable design, Adjustable intensity",Yes,,1 tsp,No Salt,½ tsp,¼ tsp,½ tsp,½ tsp,1 tsp,Too Bland
43,Other,Yes,Hypertension,Weekly,No,Sometimes,No,Yes,Moderately Important,"Mobile app integration, Portable design",Yes,Effectiveness,No Salt,½ tsp,No Salt,1 tsp,No Salt,¼ tsp,More than 1 tsp,Perfect
32,Other,Yes,Kidney Disease,Monthly,Sometimes,Sometimes,Yes,Yes,Moderately Important,"Portable design, Mobile app integration",Yes,,¼ tsp,½ tsp,More than 1 tsp,½ tsp,½ tsp,1 tsp,1 tsp,Too Salty
47,Female,Yes,None,Monthly,Sometimes,Never,No,Yes,Very Important,"Mobile app integration, Dietary tracking features",Maybe,Effectiveness,½ tsp,No Salt,1 tsp,No Salt,½ tsp,½ tsp,½ tsp,Too Salty
34,Other,No,None,Weekly,Yes,Never,Yes,Yes,Not Important,"Dietary tracking features, Mobile app integration",No,Safety,No Salt,1 tsp,½ tsp,½ tsp,1 tsp,1 tsp,1 tsp,Too Bland
20,Other,Yes,Other,Weekly,Sometimes,Never,No,No,Not Important,"Mobile app integration, Adjustable intensity",Maybe,Safety,½ tsp,No Salt,1 tsp,¼ tsp,½ tsp,More than 1 tsp,¼ tsp,Too Bland
39,Other,Yes,Kidney Disease,Monthly,Yes,Never,No,No,Moderately Important,"Mobile app integration, Portable design",Maybe,Effectiveness,1 tsp,No Salt,1 tsp,No Salt,More than 1 tsp,More than 1 tsp,More than 1 tsp,Perfect
48,Male,Yes,None,Monthly,No,Always,Yes,Yes,Very Important,"Mobile app integration, Portable design",Maybe,Price,¼ tsp,½ tsp,¼ tsp,No Salt,1 tsp,½ tsp,¼ tsp,Too Salty
58,Male,Yes,None,Monthly,Yes,Always,Yes,No,Very Important,"Portable design, Mobile app integration",No,Price,1 tsp,1 tsp,1 tsp,1 tsp,No Salt,No Salt,More than 1 tsp,Perfect
64,Female,Yes,Other,Weekly,Yes,Never,Yes,Yes,Very Important,"Mobile app integration, Portable design",Yes,,1 tsp,More than 1 tsp,More than 1 tsp,½ tsp,¼ tsp,No Salt,No Salt,Too Salty
36,Female,No,None,Rarely,Sometimes,Always,No,No,Moderately Important,"Portable design, Adjustable intensity",No,,¼ tsp,¼ tsp,¼ tsp,¼ tsp,No Salt,More than 1 tsp,More than 1 tsp,Perfect
25,Female,Yes,None,Monthly,Sometimes,Never,Yes,Yes,Not Important,"Adjustable intensity, Mobile app integration",Yes,,No Salt,1 tsp,1 tsp,1 tsp,No Salt,More than 1 tsp,½ tsp,Too Salty
62,Male,Yes,Hypertension,Monthly,No,Never,Yes,No,Not Important,"Portable design, Dietary tracking features",Yes,,½ tsp,No Salt,No Salt,1 tsp,¼ tsp,More than 1 tsp,¼ tsp,Too Salty
51,Male,No,None,Rarely,No,Always,Yes,No,Very Important,"Dietary tracking features, Portable design",Yes,,No Salt,No Salt,No Salt,More than 1 tsp,1 tsp,¼ tsp,No Salt,Too Bland
22,Other,Yes,Other,Weekly,No,Sometimes,No,No,Very Important,"Adjustable intensity, Dietary tracking features",Yes,Effectiveness,½ tsp,½ tsp,1 tsp,No Salt,No Salt,No Salt,No Salt,Perfect
60,Other,Yes,Other,Monthly,No,Never,No,Yes,Moderately Important,"Mobile app integration, Adjustable intensity",Yes,Price,1 tsp,1 tsp,½ tsp,1 tsp,1 tsp,1 tsp,¼ tsp,Perfect
26,Other,Yes,Kidney Disease,Daily,No,Never,No,No,Very Important,"Dietary tracking features, Portable design",Maybe,,¼ tsp,1 tsp,1 tsp,No Salt,1 tsp,1 tsp,No Salt,Perfect
34,Other,No,None,Daily,Sometimes,Never,Yes,No,Not Important,"Adjustable intensity, Portable design",Maybe,Safety,1 tsp,½ tsp,1 tsp,¼ tsp,More than 1 tsp,More than 1 tsp,No Salt,Perfect
59,Male,No,None,Rarely,Yes,Always,No,No,Very Important,"Mobile app integration, Portable design",Yes,Safety,More than 1 tsp,1 tsp,1 tsp,¼ tsp,No Salt,1 tsp,1 tsp,Too Bland
46,Male,No,None,Rarely,No,Always,No,Yes,Very Important,"Dietary tracking features, Portable design",Yes,,No Salt,More than 1 tsp,More than 1 tsp,½ tsp,More than 1 tsp,More than 1 tsp,¼ tsp,Too Bland
60,Female,No,None,Monthly,Yes,Always,No,No,Not Important,"Dietary tracking features, Mobile app integration",Maybe,Effectiveness,1 tsp,No Salt,No Salt,¼ tsp,No Salt,½ tsp,½ tsp,Too Bland
69,Female,No,None,Daily,Yes,Always,No,Yes,Not Important,"Dietary tracking features, Adjustable intensity",No,Safety,¼ tsp,No Salt,1 tsp,¼ tsp,1 tsp,¼ tsp,½ tsp,Perfect
66,Female,Yes,Hypertension,Rarely,No,Never,Yes,No,Very Important,"Adjustable intensity, Mobile app integration",No,Price,More than 1 tsp,¼ tsp,More than 1 tsp,¼ tsp,¼ tsp,No Salt,1 tsp,Too Bland
56,Other,No,None,Rarely,No,Never,Yes,No,Moderately Important,"Mobile app integration, Portable design",No,Safety,¼ tsp,1 tsp,More than 1 tsp,More than 1 tsp,½ tsp,More than 1 tsp,½ tsp,Too Bland
65,Other,Yes,Kidney Disease,Weekly,Sometimes,Never,No,No,Not Important,"Portable design, Mobile app integration",Maybe,Safety,More than 1 tsp,More than 1 tsp,½ tsp,No Salt,½ tsp,More than 1 tsp,1 tsp,Too Bland
54,Other,No,None,Monthly,No,Always,Yes,Yes,Moderately Important,"Portable design, Adjustable intensity",Maybe,,¼ tsp,½ tsp,¼ tsp,½ tsp,½ tsp,¼ tsp,No Salt,Too Bland
68,Female,Yes,Hypertension,Monthly,No,Always,Yes,No,Very Important,"Mobile app integration, Dietary tracking features",Maybe,,1 tsp,1 tsp,1 tsp,½ tsp,More than 1 tsp,No Salt,No Salt,Too Bland
34,Male,No,None,Weekly,Sometimes,Never,No,Yes,Not Important,"Portable design, Dietary tracking features",No,Safety,No Salt,¼ tsp,¼ tsp,More than 1 tsp,No Salt,1 tsp,No Salt,Too Salty
35,Other,No,None,Weekly,Yes,Never,No,Yes,Moderately Important,"Dietary tracking features, Mobile app integration",Yes,,¼ tsp,½ tsp,More than 1 tsp,No Salt,More than 1 tsp,½ tsp,1 tsp,Too Bland
53,Female,Yes,Other,Weekly,Yes,Never,Yes,Yes,Moderately Important,"Dietary tracking features, Adjustable intensity",No,Safety,¼ tsp,½ tsp,½ tsp,½ tsp,½ tsp,¼ tsp,More than 1 tsp,Too Bland
48,Other,Yes,Hypertension,Monthly,No,Always,Yes,Yes,Not Important,"Mobile app integration, Portable design",Yes,Price,½ tsp,More than 1 tsp,½ tsp,No Salt,More than 1 tsp,½ tsp,More than 1 tsp,Too Bland
46,Female,Yes,Other,Weekly,No,Never,Yes,Yes,Very Important,"Adjustable intensity, Mobile app integration",Yes,Safety,¼ tsp,1 tsp,No Salt,¼ tsp,More than 1 tsp,1 tsp,No Salt,Too Bland
61,Male,Yes,None,Monthly,Yes,Always,Yes,Yes,Very Important,"Mobile app integration, Dietary tracking features",Yes,Safety,½ tsp,1 tsp,1 tsp,1 tsp,1 tsp,1 tsp,½ tsp,Perfect
42,Other,Yes,Hypertension,Daily,Sometimes,Never,Yes,Yes,Moderately Important,"Adjustable intensity, Portable design",Maybe,Effectiveness,More than 1 tsp,No Salt,½ tsp,1 tsp,1 tsp,1 tsp,No Salt,Too Salty
28,Other,Yes,Kidney Disease,Rarely,Sometimes,Sometimes,Yes,No,Not Important,"Mobile app integration, Adjustable intensity",Maybe,Safety,No Salt,No Salt,No Salt,More than 1 tsp,More than 1 tsp,1 tsp,More than 1 tsp,Too Bland
23,Female,Yes,Other,Weekly,No,Never,Yes,Yes,Very Important,"Portable design, Mobile app integration",No,Safety,No Salt,¼ tsp,More than 1 tsp,No Salt,More than 1 tsp,1 tsp,More than 1 tsp,Perfect
36,Other,Yes,Other,Daily,Yes,Never,No,No,Moderately Important,"Portable design, Mobile app integration",Maybe,Safety,No Salt,½ tsp,More than 1 tsp,No Salt,¼ tsp,½ tsp,1 tsp,Too Salty
39,Other,No,None,Weekly,Sometimes,Never,No,No,Moderately Important,"Portable design, Adjustable intensity",No,Safety,¼ tsp,1 tsp,½ tsp,½ tsp,¼ tsp,½ tsp,1 tsp,Too Salty
46,Female,No,None,Rarely,Sometimes,Always,Yes,Yes,Moderately Important,"Portable design, Mobile app integration",Yes,Effectiveness,No Salt,No Salt,No Salt,More than 1 tsp,No Salt,More than 1 tsp,More than 1 tsp,Too Salty
67,Other,Yes,Hypertension,Monthly,Sometimes,Never,No,Yes,Moderately Important,"Dietary tracking features, Adjustable intensity",Maybe,Effectiveness,¼ tsp,1 tsp,More than 1 tsp,More than 1 tsp,No Salt,1 tsp,½ tsp,Too Bland
18,Other,Yes,Kidney Disease,Weekly,No,Always,Yes,Yes,Not Important,"Dietary tracking features, Portable design",Yes,Safety,1 tsp,¼ tsp,No Salt,½ tsp,½ tsp,¼ tsp,No Salt,Too Bland
31,Other,No,None,Rarely,No,Sometimes,Yes,Yes,Not Important,"Mobile app integration, Adjustable intensity",Maybe,Effectiveness,½ tsp,More than 1 tsp,More than 1 tsp,More than 1 tsp,¼ tsp,1 tsp,1 tsp,Too Salty
55,Other,Yes,Other,Rarely,Yes,Never,No,No,Moderately Important,"Dietary tracking features, Portable design",Maybe,,More than 1 tsp,¼ tsp,1 tsp,¼ tsp,¼ tsp,No Salt,More than 1 tsp,Too Bland
35,Male,Yes,Kidney Disease,Weekly,No,Never,Yes,Yes,Moderately Important,"Mobile app integration, Dietary tracking features",Yes,Price,1 tsp,1 tsp,¼ tsp,More than 1 tsp,¼ tsp,1 tsp,No Salt,Perfect
20,Male,Yes,Kidney Disease,Daily,Sometimes,Always,Yes,Yes,Moderately Important,"Portable design, Mobile app integration",No,,½ tsp,No Salt,¼ tsp,1 tsp,More than 1 tsp,1 tsp,1 tsp,Perfect
32,Female,Yes,Kidney Disease,Monthly,Yes,Never,No,No,Not Important,"Adjustable intensity, Dietary tracking features",No,Price,¼ tsp,No Salt,No Salt,¼ tsp,More than 1 tsp,More than 1 tsp,1 tsp,Perfect
56,Male,Yes,None,Daily,Sometimes,Never,Yes,Yes,Moderately Important,"Portable design, Mobile app integration",Maybe,,1 tsp,More than 1 tsp,1 tsp,½ tsp,No Salt,More than 1 tsp,1 tsp,Perfect
69,Female,No,None,Monthly,Sometimes,Never,Yes,No,Very Important,"Mobile app integration, Portable design",Yes,,½ tsp,More than 1 tsp,More than 1 tsp,1 tsp,½ tsp,¼ tsp,No Salt,Too Bland
65,Male,Yes,Hypertension,Rarely,Sometimes,Always,No,No,Moderately Important,"Adjustable intensity, Dietary tracking features",No,Effectiveness,½ tsp,More than 1 tsp,1 tsp,More than 1 tsp,½ tsp,More than 1 tsp,½ tsp,Too Bland
43,Male,No,None,Rarely,Yes,Sometimes,No,No,Moderately Important,"Mobile app integration, Dietary tracking features",No,Safety,No Salt,¼ tsp,1 tsp,¼ tsp,No Salt,¼ tsp,More than 1 tsp,Too Salty
68,Female,Yes,Kidney Disease,Rarely,Sometimes,Always,Yes,Yes,Moderately Important,"Dietary tracking features, Adjustable intensity",Yes,Effectiveness,¼ tsp,½ tsp,No Salt,More than 1 tsp,No Salt,1 tsp,1 tsp,Too Bland
59,Other,No,None,Daily,Yes,Never,No,No,Very Important,"Portable design, Mobile app integration",Maybe,Effectiveness,¼ tsp,No Salt,More than 1 tsp,More than 1 tsp,More than 1 tsp,¼ tsp,More than 1 tsp,Perfect
61,Male,No,None,Weekly,Sometimes,Always,Yes,Yes,Moderately Important,"Dietary tracking features, Portable design",Maybe,Price,1 tsp,More than 1 tsp,¼ tsp,More than 1 tsp,No Salt,No Salt,No Salt,Too Bland
36,Other,No,None,Monthly,No,Always,Yes,No,Moderately Important,"Adjustable intensity, Portable design",Yes,Price,More than 1 tsp,No Salt,More than 1 tsp,No Salt,More than 1 tsp,½ tsp,½ tsp,Perfect
69,Other,No,None,Monthly,Sometimes,Sometimes,No,No,Very Important,"Mobile app integration, Portable design",Maybe,Price,More than 1 tsp,No Salt,1 tsp,No Salt,½ tsp,No Salt,1 tsp,Too Bland
68,Male,Yes,Other,Rarely,No,Never,Yes,No,Very Important,"Mobile app integration, Adjustable intensity",No,Effectiveness,No Salt,More than 1 tsp,¼ tsp,1 tsp,½ tsp,½ tsp,¼ tsp,Too Bland
35,Male,Yes,None,Weekly,Yes,Never,Yes,No,Very Important,"Portable design, Adjustable intensity",Yes,Effectiveness,¼ tsp,No Salt,No Salt,No Salt,1 tsp,More than 1 tsp,No Salt,Too Bland
20,Female,No,None,Monthly,No,Never,No,No,Very Important,"Mobile app integration, Portable design",Yes,Safety,No Salt,More than 1 tsp,1 tsp,1 tsp,More than 1 tsp,No Salt,More than 1 tsp,Too Salty
43,Other,Yes,None,Daily,Sometimes,Never,No,No,Not Important,"Adjustable intensity, Dietary tracking features",Maybe,Safety,1 tsp,More than 1 tsp,No Salt,½ tsp,½ tsp,More than 1 tsp,½ tsp,Perfect
53,Female,Yes,Other,Rarely,Sometimes,Sometimes,No,Yes,Moderately Important,"Dietary tracking features, Adjustable intensity",No,Effectiveness,½ tsp,1 tsp,½ tsp,1 tsp,¼ tsp,More than 1 tsp,¼ tsp,Too Bland
61,Male,Yes,Other,Weekly,Sometimes,Sometimes,No,Yes,Very Important,"Portable design, Dietary tracking features",Yes,Safety,1 tsp,1 tsp,¼ tsp,More than 1 tsp,More than 1 tsp,½ tsp,1 tsp,Too Salty
34,Other,Yes,None,Daily,Sometimes,Always,Yes,Yes,Moderately Important,"Dietary tracking features, Mobile app integration",Yes,Price,½ tsp,½ tsp,½ tsp,½ tsp,More than 1 tsp,More than 1 tsp,½ tsp,Too Salty
